case,temp,tray spacing,dist flow,cond liq flow
Case 240,16.5,0.62,50.1375911,105.732824
Case 241,16.5,0.63,50.1375911,105.732824
Case 242,16.5,0.64,50.1375911,105.732824
Case 243,16.5,0.65,50.1375911,105.732824
Case 244,16.5,0.66,50.1375911,105.732824
Case 245,16.5,0.67,50.1375911,105.732824
Case 246,16.5,0.68,50.1375911,105.732824
Case 247,16.5,0.69,50.1375911,105.732824
Case 248,16.5,0.7,50.1375911,105.732824
Case 249,16,0.4,51.06452227,155.2913753
Case 250,16,0.41,51.06277969,155.7316662
Case 251,16,0.42,51.06339286,155.7233651
Case 252,16,0.43,51.06266894,155.9162044
Case 253,16,0.44,51.0629852,155.8884248
Case 254,16,0.45,51.06256312,155.9880428
Case 255,16,0.46,51.062726,155.9781093
Case 256,16,0.47,51.06253281,156.0313098
Case 257,16,0.48,51.06265429,156.0278597
Case 258,16,0.49,51.06262688,156.0277759
Case 259,16,0.5,51.06262893,156.0277822
Case 260,16,0.51,51.06262946,156.0277838
Case 261,16,0.52,51.0626291,156.0277827
Case 262,16,0.53,51.06262924,156.0277831
Case 263,16,0.54,51.0626292,156.027783
Case 264,16,0.55,51.06262921,156.027783
Case 265,16,0.56,51.06262921,156.027783
Case 266,16,0.57,51.06262921,156.027783
Case 267,16,0.58,51.06262921,156.027783
Case 268,16,0.59,51.06262921,156.027783
Case 269,16,0.6,51.06262921,156.027783
Case 270,16,0.61,51.06262921,156.027783
Case 271,16,0.62,51.06262921,156.027783
Case 272,16,0.63,51.06262921,156.027783
Case 273,16,0.64,51.06262921,156.027783
Case 274,16,0.65,51.06262921,156.027783
Case 275,16,0.66,51.06262921,156.027783
Case 276,16,0.67,51.06262921,156.027783
Case 277,16,0.68,51.06262921,156.027783
Case 278,16,0.69,51.06262921,156.027783
Case 279,16,0.7,51.06262921,156.027783
Case 280,15.5,0.4,51.93484581,297.7135589
Case 281,15.5,0.41,51.93320715,298.5945449
Case 282,15.5,0.42,51.93382878,298.6527901
Case 283,15.5,0.43,51.93348148,299.032744
Case 284,15.5,0.44,51.9337065,298.8653242
Case 285,15.5,0.45,51.93314896,299.2634177
Case 286,15.5,0.46,51.93335193,299.2929226
Case 287,15.5,0.47,51.93312552,299.5233231
Case 288,15.5,0.48,51.93329585,299.4536811
Case 289,15.5,0.49,51.93309146,299.5859324
Case 290,15.5,0.5,51.93319693,299.555879
Case 291,15.5,0.51,51.9330772,299.6373901
Case 292,15.5,0.52,51.93312056,299.615404
Case 293,15.5,0.53,51.93304614,299.7080328
Case 294,15.5,0.54,51.93315686,299.6426669
Case 295,15.5,0.55,51.93304128,299.677747
Case 296,15.5,0.56,51.93309269,299.6780437
Case 297,15.5,0.57,51.93307923,299.677966
Case 298,15.5,0.58,51.93308297,299.6779876
Case 299,15.5,0.59,51.93308184,299.6779811
Case 300,15.5,0.6,51.93308222,299.6779833
Case 301,15.5,0.61,51.93308209,299.6779825
Case 302,15.5,0.62,51.93308213,299.6779828
Case 303,15.5,0.63,51.93308212,299.6779827
Case 304,15.5,0.64,51.93308212,299.6779827
Case 305,15.5,0.65,51.93308212,299.6779827
